company,ticker,date,employees_count
CrowdStrike,CRWD,2023-01-16,6843
CrowdStrike,CRWD,2023-02-18,6907
CrowdStrike,CRWD,2023-03-13,6955
CrowdStrike,CRWD,2023-04-13,6871
CrowdStrike,CRWD,2023-05-15,7090
CrowdStrike,CRWD,2023-06-21,7174
CrowdStrike,CRWD,2023-07-11,7288
CrowdStrike,CRWD,2023-08-02,7332
CrowdStrike,CRWD,2023-09-12,7327
CrowdStrike,CRWD,2023-10-04,7330
CrowdStrike,CRWD,2023-11-20,7420
CrowdStrike,CRWD,2023-12-13,7451
CrowdStrike,CRWD,2024-01-17,7632
CrowdStrike,CRWD,2024-02-23,7755
CrowdStrike,CRWD,2024-03-12,7830
CrowdStrike,CRWD,2024-04-14,8095
CrowdStrike,CRWD,2024-05-24,8392
CrowdStrike,CRWD,2024-06-12,8668
CrowdStrike,CRWD,2024-07-11,8900
CrowdStrike,CRWD,2024-08-23,9050
CrowdStrike,CRWD,2024-09-15,9215
CrowdStrike,CRWD,2024-10-14,9294
CrowdStrike,CRWD,2024-11-26,9536
CrowdStrike,CRWD,2025-01-15,9753
CrowdStrike,CRWD,2025-02-05,9869
CrowdStrike,CRWD,2025-03-11,10011
CrowdStrike,CRWD,2025-04-09,10172
CrowdStrike,CRWD,2025-05-11,10196
CrowdStrike,CRWD,2025-06-03,10210
CrowdStrike,CRWD,2025-07-29,10378
CrowdStrike,CRWD,2025-08-24,10400
CrowdStrike,CRWD,2025-09-03,10382
CrowdStrike,CRWD,2025-10-14,10629
CrowdStrike,CRWD,2025-11-12,10746
Zscaler,ZS,2023-01-19,6675
Zscaler,ZS,2023-02-16,6656
Zscaler,ZS,2023-03-12,6699
Zscaler,ZS,2023-04-06,6539
Zscaler,ZS,2023-05-29,6689
Zscaler,ZS,2023-06-12,6772
Zscaler,ZS,2023-07-20,6619
Zscaler,ZS,2023-08-09,6702
Zscaler,ZS,2023-09-05,6799
Zscaler,ZS,2023-10-16,6898
Zscaler,ZS,2023-11-24,7026
Zscaler,ZS,2023-12-14,6983
Zscaler,ZS,2024-01-24,7160
Zscaler,ZS,2024-02-23,7323
Zscaler,ZS,2024-03-03,7416
Zscaler,ZS,2024-04-14,7846
Zscaler,ZS,2024-05-18,8007
Zscaler,ZS,2024-06-08,8062
Zscaler,ZS,2024-07-03,8096
Zscaler,ZS,2024-08-22,8175
Zscaler,ZS,2024-09-21,8276
Zscaler,ZS,2024-10-02,8301
Zscaler,ZS,2024-11-26,8380
Zscaler,ZS,2025-01-11,8467
Zscaler,ZS,2025-02-25,8588
Zscaler,ZS,2025-03-07,8647
Zscaler,ZS,2025-04-06,8695
Zscaler,ZS,2025-05-11,8785
Zscaler,ZS,2025-06-02,8839
Zscaler,ZS,2025-07-29,8961
Zscaler,ZS,2025-08-23,9098
Zscaler,ZS,2025-09-02,9106
Zscaler,ZS,2025-10-15,9238
Zscaler,ZS,2025-11-11,8984
Cloudflare,NET,2023-01-16,3425
Cloudflare,NET,2023-02-18,3515
Cloudflare,NET,2023-03-22,3586
Cloudflare,NET,2023-04-25,3513
Cloudflare,NET,2023-05-07,3457
Cloudflare,NET,2023-06-30,3655
Cloudflare,NET,2023-08-28,3770
Cloudflare,NET,2023-09-19,3814
Cloudflare,NET,2023-10-28,3924
Cloudflare,NET,2023-11-23,3953
Cloudflare,NET,2023-12-19,3990
Cloudflare,NET,2024-01-26,4016
Cloudflare,NET,2024-02-29,4110
Cloudflare,NET,2024-03-28,4252
Cloudflare,NET,2024-04-28,4306
Cloudflare,NET,2024-05-27,4397
Cloudflare,NET,2024-06-23,4522
Cloudflare,NET,2024-07-27,0
Cloudflare,NET,2024-09-16,4781
Cloudflare,NET,2024-10-26,4807
Cloudflare,NET,2024-11-28,4931
Cloudflare,NET,2025-01-24,5055
Cloudflare,NET,2025-02-25,5182
Cloudflare,NET,2025-03-18,5242
Cloudflare,NET,2025-04-21,5366
Cloudflare,NET,2025-05-14,5438
Cloudflare,NET,2025-06-05,5580
Cloudflare,NET,2025-07-29,5796
Cloudflare,NET,2025-08-26,5923
Cloudflare,NET,2025-09-06,5943
Cloudflare,NET,2025-10-15,6118
Cloudflare,NET,2025-11-14,6246
